BTOT,yr,RELI,wkt,WT1,WT2,WT3,WT4,WT5,WT6
95,2014,68232437,POINT(8.527632 47.339023),0,16,29,4,4,0
56,2014,68332492,POINT(8.541886 47.388361),0,3,20,6,3,0
51,2014,68122491,POINT(8.514058 47.387724),0,11,11,24,3,2
64,2014,67872480,POINT(8.480758 47.378135),5,5,5,12,6,2
25,2014,67972479,POINT(8.49398 47.377115),0,2,1,3,3,2
9,2014,68662487,POINT(8.585489 47.383439),0,0,3,0,0,0
38,2014,68182466,POINT(8.521546 47.365167),1,12,19,3,0,0
113,2014,68702512,POINT(8.591272 47.40587),0,35,32,2,0,0
148,2014,68162463,POINT(8.518844 47.362493),0,32,59,3,0,0
28,2014,68112491,POINT(8.512734 47.387737),0,6,18,6,0,0
42,2014,68522467,POINT(8.566571 47.365635),0,2,4,1,6,6
242,2014,68682508,POINT(8.588545 47.402299),0,27,67,31,0,0
138,2014,68362486,POINT(8.545746 47.382927),1,7,22,37,3,2
12,2014,68592439,POINT(8.5753 47.340363),3,0,4,3,0,0
28,2014,68552440,POINT(8.570027 47.341314),0,1,3,5,0,5
131,2014,68682507,POINT(8.588526 47.401399),36,18,45,0,0,0
60,2014,67992503,POINT(8.497057 47.398675),7,3,24,1,2,1
66,2014,68202440,POINT(8.523718 47.341759),2,3,12,7,5,6
30,2014,67922477,POINT(8.487325 47.375377),0,1,20,1,2,0
89,2014,68262499,POINT(8.532745 47.394745),0,0,28,12,1,2
203,2014,68452520,POINT(8.558306 47.41339),4,5,25,19,26,2
100,2014,67942478,POINT(8.48999 47.376252),27,13,15,12,4,0
171,2014,68152476,POINT(8.517757 47.374197),7,16,55,22,1,0
52,2014,68482476,POINT(8.561446 47.373781),6,11,7,2,2,6
32,2014,68522518,POINT(8.567542 47.411501),0,0,0,12,0,0
127,2014,68272432,POINT(8.532832 47.334476),14,22,33,6,4,0
3,2014,68262514,POINT(8.533022 47.408235),0,0,0,0,1,0
29,2014,68302479,POINT(8.537672 47.376708),1,0,6,8,0,0
81,2014,68272460,POINT(8.533349 47.359658),2,11,16,13,9,1
4,2014,68722497,POINT(8.593629 47.392353),0,0,1,1,0,0
56,2014,68542464,POINT(8.569161 47.362911),2,5,2,9,4,7
49,2014,68362473,POINT(8.545504 47.371236),37,13,5,1,0,1
3,2014,67892470,POINT(8.483229 47.369117),0,0,1,0,0,0
105,2014,67982509,POINT(8.495839 47.404083),3,13,24,0,13,0
189,2014,68402461,POINT(8.550574 47.360393),25,47,70,15,3,2
92,2014,68272464,POINT(8.533423 47.363256),12,10,27,18,2,0
3,2014,68572453,POINT(8.572921 47.35298),1,0,0,0,0,0
141,2014,68312518,POINT(8.53972 47.411769),0,24,48,6,6,0
84,2014,67942477,POINT(8.489973 47.375353),19,8,12,8,3,2
95,2014,67852487,POINT(8.478232 47.384454),25,30,22,0,0,0
155,2014,68202487,POINT(8.524579 47.384028),7,8,31,22,8,0
68,2014,68652451,POINT(8.58347 47.351076),1,0,9,15,2,3
43,2014,68312505,POINT(8.539479 47.400078),0,0,12,6,0,0
179,2014,68362516,POINT(8.546307 47.409907),9,34,30,13,2,0
12,2014,68272506,POINT(8.534199 47.401028),0,0,6,0,0,0
12,2014,68352528,POINT(8.545207 47.420712),0,0,1,3,0,0
59,2014,68122459,POINT(8.513477 47.358945),1,14,12,7,1,0
55,2014,68572457,POINT(8.572998 47.356577),1,8,18,13,0,0
242,2014,68442455,POINT(8.555755 47.354946),17,67,61,34,7,1
200,2014,67922498,POINT(8.487696 47.394263),9,11,36,13,1,0
10,2014,68172482,POINT(8.520515 47.379568),0,2,2,0,1,2
107,2014,68222522,POINT(8.52787 47.415479),4,13,21,18,5,0
97,2014,68492518,POINT(8.563568 47.41154),0,0,9,28,0,0
3,2014,68182520,POINT(8.522534 47.413731),0,0,0,0,0,1
119,2014,68322507,POINT(8.54084 47.401864),0,3,19,29,12,0
152,2014,68592509,POINT(8.576643 47.403316),0,0,48,17,0,0
210,2014,68632508,POINT(8.581922 47.402364),3,33,49,16,0,0
43,2014,68812481,POINT(8.605233 47.377844),0,0,2,0,3,6
